video,total,positive,negative,neutral,positive_pct,negative_pct,neutral_pct,avg_compound
One Battle After Another  - Official Trailer - War...,200,90,62,48,45.0,31.0,24.0,0.11
One Battle After Another | Official Trailer 2,200,115,25,60,57.5,12.5,30.0,0.302
One Battle After Another | Official Trailer 3 | Wa...,64,30,18,16,46.9,28.1,25.0,0.131
One Battle After Another | Trailer Español Subtitu...,3,1,1,1,33.3,33.3,33.3,0.133
One Battle After Another | Back in IMAX 70mm,99,58,16,25,58.6,16.2,25.3,0.258
